team_id,team,tournament_id
0,Arminia Bielefeld,0
1,Mainz 05,0
2,Bayern Munich,0
3,Borussia M.Gladbach,0
4,VfB Stuttgart,0
5,Augsburg,0
6,Hoffenheim,0
7,Borussia Dortmund,0
8,Bayer Leverkusen,0
9,Werder Bremen,0
10,Schalke 04,0
11,Freiburg,0
12,Wolfsburg,0
13,Hertha Berlin,0
14,RB Leipzig,0
15,FC Koln,0
16,Union Berlin,0
17,Eintracht Frankfurt,0
18,Real Betis,1
19,Granada,1
20,SD Huesca,1
21,Real Madrid,1
22,Real Valladolid,1
23,Sevilla,1
24,Getafe,1
25,Valencia,1
26,Osasuna,1
27,Cadiz,1
28,Atletico Madrid,1
29,Elche,1
30,Levante,1
31,Barcelona,1
32,Villarreal,1
33,Athletic Bilbao,1
34,Deportivo Alaves,1
35,Real Sociedad,1
36,Celta Vigo,1
37,Eibar,1
38,Marseille,2
39,Strasbourg,2
40,Nantes,2
41,Metz,2
42,Lyon,2
43,Saint-Etienne,2
44,Brest,2
45,Lille,2
46,Lorient,2
47,Paris Saint-Germain,2
48,Montpellier,2
49,Dijon,2
50,Angers,2
51,Nice,2
52,Lens,2
53,Nimes,2
54,Monaco,2
55,Reims,2
56,Bordeaux,2
57,Rennes,2
58,Southampton,3
59,Liverpool,3
60,Leeds,3
61,Manchester City,3
62,Wolverhampton Wanderers,3
63,Aston Villa,3
64,West Ham,3
65,Chelsea,3
66,West Bromwich Albion,3
67,Brighton,3
68,Arsenal,3
69,Burnley,3
70,Crystal Palace,3
71,Newcastle United,3
72,Fulham,3
73,Everton,3
74,Leicester,3
75,Manchester United,3
76,Sheffield United,3
77,Tottenham,3
78,Spezia,4
79,Juventus,4
80,Udinese,4
81,Bologna,4
82,Genoa,4
83,Inter,4
84,Crotone,4
85,Sampdoria,4
86,Cagliari,4
87,Benevento,4
88,AC Milan,4
89,Napoli,4
90,Verona,4
91,Fiorentina,4
92,Torino,4
93,Sassuolo,4
94,Atalanta,4
95,Roma,4
96,Parma Calcio 1913,4
97,Lazio,4
